game_id,season,game_date,matchup,opponent,pbp_status,pbp_events,pbp_periods,pbp_shape,box_status,box_players,box_shape,error
0021600006,2016-17,2016-10-26,BOS vs. BKN,BKN,cached,521,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600015,2016-17,2016-10-27,BOS @ CHI,CHI,cached,512,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600027,2016-17,2016-10-29,BOS @ CHA,CHA,cached,476,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600061,2016-17,2016-11-02,BOS vs. CHI,CHI,cached,494,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600068,2016-17,2016-11-03,BOS @ CLE,CLE,cached,500,"1,2,3,4",game.actions shape,cached,25,boxScoreTraditional shape,
0021600091,2016-17,2016-11-06,BOS vs. DEN,DEN,cached,496,"1,2,3,4",game.actions shape,cached,25,boxScoreTraditional shape,
0021600107,2016-17,2016-11-09,BOS @ WAS,WAS,cached,489,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600125,2016-17,2016-11-11,BOS vs. NYK,NYK,cached,574,"1,2,3,4",game.actions shape,cached,25,boxScoreTraditional shape,
0021600130,2016-17,2016-11-12,BOS @ IND,IND,cached,513,"1,2,3,4",game.actions shape,cached,25,boxScoreTraditional shape,
0021600148,2016-17,2016-11-14,BOS @ NOP,NOP,cached,524,"1,2,3,4",game.actions shape,cached,24,boxScoreTraditional shape,
0021600161,2016-17,2016-11-16,BOS vs. DAL,DAL,cached,444,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600179,2016-17,2016-11-18,BOS vs. GSW,GSW,cached,460,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600188,2016-17,2016-11-19,BOS @ DET,DET,cached,434,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600205,2016-17,2016-11-21,BOS @ MIN,MIN,cached,469,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600217,2016-17,2016-11-23,BOS @ BKN,BKN,cached,513,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600225,2016-17,2016-11-25,BOS vs. SAS,SAS,cached,464,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600256,2016-17,2016-11-28,BOS @ MIA,MIA,cached,479,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600267,2016-17,2016-11-30,BOS vs. DET,DET,cached,463,"1,2,3,4",game.actions shape,cached,25,boxScoreTraditional shape,
0021600283,2016-17,2016-12-02,BOS vs. SAC,SAC,cached,514,"1,2,3,4",game.actions shape,cached,25,boxScoreTraditional shape,
0021600294,2016-17,2016-12-03,BOS @ PHI,PHI,cached,479,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600311,2016-17,2016-12-05,BOS @ HOU,HOU,cached,488,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600322,2016-17,2016-12-07,BOS @ ORL,ORL,cached,490,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600339,2016-17,2016-12-09,BOS vs. TOR,TOR,cached,477,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600357,2016-17,2016-12-11,BOS @ OKC,OKC,cached,496,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600383,2016-17,2016-12-14,BOS @ SAS,SAS,cached,454,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600391,2016-17,2016-12-16,BOS vs. CHA,CHA,cached,504,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600410,2016-17,2016-12-18,BOS @ MIA,MIA,cached,478,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600424,2016-17,2016-12-20,BOS @ MEM,MEM,cached,556,"1,2,3,4,5",game.actions shape,cached,25,boxScoreTraditional shape,
0021600440,2016-17,2016-12-22,BOS @ IND,IND,cached,512,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600445,2016-17,2016-12-23,BOS vs. OKC,OKC,cached,511,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600456,2016-17,2016-12-25,BOS @ NYK,NYK,cached,499,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600472,2016-17,2016-12-27,BOS vs. MEM,MEM,cached,515,"1,2,3,4",game.actions shape,cached,25,boxScoreTraditional shape,
0021600488,2016-17,2016-12-29,BOS @ CLE,CLE,cached,484,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600494,2016-17,2016-12-30,BOS vs. MIA,MIA,cached,439,"1,2,3,4",game.actions shape,cached,25,boxScoreTraditional shape,
0021600522,2016-17,2017-01-03,BOS vs. UTA,UTA,cached,430,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600546,2016-17,2017-01-06,BOS vs. PHI,PHI,cached,528,"1,2,3,4",game.actions shape,cached,24,boxScoreTraditional shape,
0021600553,2016-17,2017-01-07,BOS vs. NOP,NOP,cached,482,"1,2,3,4",game.actions shape,cached,25,boxScoreTraditional shape,
0021600572,2016-17,2017-01-10,BOS @ TOR,TOR,cached,492,"1,2,3,4",game.actions shape,cached,24,boxScoreTraditional shape,
0021600583,2016-17,2017-01-11,BOS vs. WAS,WAS,cached,461,"1,2,3,4",game.actions shape,cached,25,boxScoreTraditional shape,
0021600597,2016-17,2017-01-13,BOS @ ATL,ATL,cached,460,"1,2,3,4",game.actions shape,cached,25,boxScoreTraditional shape,
0021600618,2016-17,2017-01-16,BOS vs. CHA,CHA,cached,431,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600630,2016-17,2017-01-18,BOS vs. NYK,NYK,cached,486,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600650,2016-17,2017-01-21,BOS vs. POR,POR,cached,568,"1,2,3,4,5",game.actions shape,cached,25,boxScoreTraditional shape,
0021600676,2016-17,2017-01-24,BOS @ WAS,WAS,cached,467,"1,2,3,4",game.actions shape,cached,25,boxScoreTraditional shape,
0021600681,2016-17,2017-01-25,BOS vs. HOU,HOU,cached,496,"1,2,3,4",game.actions shape,cached,26,boxScoreTraditional shape,
0021600697,2016-17,2017-01-27,BOS vs. ORL,ORL,cached,448,"1,2,3,4",game.actions shape,cached,25,boxScoreTraditional shape,
0021600706,2016-17,2017-01-28,BOS @ MIL,MIL,cached,542,"1,2,3,4,5",game.actions shape,cached,25,boxScoreTraditional shape,
0021600721,2016-17,2017-01-30,BOS vs. DET,DET,cached,520,"1,2,3,4",game.actions shape,cached,25,boxScoreTraditional shape,
